Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
critically ill adults and children receiving mechanical ventilation,chlorhexidine (mouthrinse or gel),placebo or usual care,Incidence of VAP,RR,0.67,0.47,0.97,TRUE,1206,13,Moderate,Downgraded one level due to substantial heterogeneity (I2 = 66%).,FALSE,FALSE,TRUE,FALSE,FALSE
critically ill adults and children receiving mechanical ventilation,chlorhexidine (mouthrinse or gel),placebo or usual care,Mortality,RR,1.03,0.8,1.33,FALSE,944,9,Moderate,Downgraded one level due to imprecision.,FALSE,TRUE,FALSE,FALSE,FALSE
critically ill adults and children receiving mechanical ventilation,chlorhexidine (mouthrinse or gel),placebo or usual care,Duration of ventilation,MD,-1.1,-3.2,1,FALSE,594,4,Very low,"Downgraded three levels due to serious imprecision, substantial heterogeneity (I2 = 74%), and serious risk of bias: two studies at high risk of bias.",TRUE,TRUE,TRUE,FALSE,FALSE
critically ill adults and children receiving mechanical ventilation,chlorhexidine (mouthrinse or gel),placebo or usual care,Duration of ICU stay,MD,-0.89,-3.59,1.82,FALSE,627,5,Low,Downgraded two levels due to serious imprecision and substantial heterogeneity (I2 = 69%).,FALSE,TRUE,TRUE,FALSE,FALSE
critically ill adults and children receiving mechanical ventilation,chlorhexidine (mouthrinse or gel),placebo or usual care,Adverse effects,NA,NA,NA,NA,NA,NA,NA,Very low,"Downgraded three levels due to very serious imprecision and serious inconsistency: only two studies reported on this outcome, and they did not report data adequately enough to enable us to evaluate the risk of adverse events.",FALSE,TRUE,TRUE,FALSE,FALSE
critically ill adults receiving mechanical ventilation,toothbrushing (± antiseptics),no toothbrushing (± antiseptics),Incidence of VAP,RR,0.61,0.41,0.91,TRUE,910,5,Low,Downgraded two levels due to very serious risk of bias: five studies at high risk of bias.,TRUE,FALSE,FALSE,FALSE,FALSE
critically ill adults receiving mechanical ventilation,toothbrushing (± antiseptics),no toothbrushing (± antiseptics),Mortality,RR,0.84,0.67,1.05,FALSE,910,5,Low,Downgraded two levels due to very serious risk of bias: five studies at high risk of bias.,TRUE,FALSE,FALSE,FALSE,FALSE
critically ill adults receiving mechanical ventilation,toothbrushing (± antiseptics),no toothbrushing (± antiseptics),Duration of ventilation,MD,-0.43,-1.17,0.3,FALSE,810,4,Low,Downgraded two levels due to very serious risk of bias: four studies at high risk of bias.,TRUE,FALSE,FALSE,FALSE,FALSE
critically ill adults receiving mechanical ventilation,toothbrushing (± antiseptics),no toothbrushing (± antiseptics),Duration of ICU stay,MD,-1.89,-3.52,-0.27,TRUE,749,3,Very low,Downgraded three levels due to serious imprecision and very serious risk of bias: three studies at high risk of bias.,TRUE,TRUE,FALSE,FALSE,FALSE
critically ill adults receiving mechanical ventilation,toothbrushing (± antiseptics),no toothbrushing (± antiseptics),Adverse effects,NA,NA,NA,NA,NA,NA,NA,Very low,"Downgraded three levels due to very serious imprecision and serious inconsistency: only two studies reported on this outcome, with data that did not enable us to evaluate the risk of adverse events.",FALSE,TRUE,TRUE,FALSE,FALSE
