Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
patients receiving radiotherapy on its own or in addition to chemotherapy to the head and neck region,pilocarpine,no treatment/placebo,Xerostomia - Up to and including 6 months postRT,SMD,-0.35,-1.04,0.33,FALSE,126,2,Very Low,"Downgraded by 1 level for risk of bias, 1 level for imprecision (small sample size and 95% CIs include both possibility of benefit and harm), and 1 level for inconsistency (I2 = 68%).",TRUE,TRUE,TRUE,FALSE,FALSE
patients receiving radiotherapy on its own or in addition to chemotherapy to the head and neck region,pilocarpine,no treatment/placebo,Salivary flow rate (unstimulated) - Up to and including 3 months postRT,MD,-0.06,-0.23,0.11,FALSE,24,1,Very Low,"Downgraded by 1 level for risk of bias, and 2 levels for imprecision (single study with 12 participants per group and 95% CIs include both possibility of benefit and harm).",TRUE,TRUE,FALSE,FALSE,FALSE
patients receiving radiotherapy on its own or in addition to chemotherapy to the head and neck region,pilocarpine,no treatment/placebo,Overall survival - Up to and including 6 months postRT,RR,1.07,0.8,1.43,FALSE,60,1,Very Low,"Downgraded by 1 level for risk of bias, and 2 levels for imprecision (single study and 95% CIs include both possibility of benefit and harm).",TRUE,TRUE,FALSE,FALSE,FALSE
patients receiving radiotherapy on its own or in addition to chemotherapy to the head and neck region,pilocarpine,no treatment/placebo,Quality of life - Up to and including 6 months postRT,MD,0.2,-0.19,0.59,FALSE,90,1,Very Low,"Downgraded by 1 level for risk of bias, and 2 levels for imprecision (single study and 95% CIs include both possibility of benefit and harm).",TRUE,TRUE,FALSE,FALSE,FALSE
patients receiving radiotherapy on its own or in addition to chemotherapy to the head and neck region,pilocarpine,no treatment/placebo,sweating ,RR,2.98,1.43,6.22,TRUE,389,5,Low,"Downgraded by 1 level for risk of bias, and 1 level for imprecision (very wide 95% CIs).",TRUE,TRUE,FALSE,FALSE,FALSE
patients receiving radiotherapy on its own or in addition to chemotherapy to the head and neck region,pilocarpine,no treatment/placebo,"adverse events, apart from for sweating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
patients receiving radiotherapy on its own or in addition to chemotherapy to the head and neck region,amifostine,no treatment/placebo,Xerostomia (0-4 scale - grade 2 or above) - 12 months postRT,RR,0.7,0.4,1.23,FALSE,682,7,Low,"Downgraded by 1 level for risk of bias, and 1 level for inconsistency (I2 = 83%).",TRUE,FALSE,TRUE,FALSE,FALSE
patients receiving radiotherapy on its own or in addition to chemotherapy to the head and neck region,amifostine,no treatment/placebo,Salivary flow rate (mg/5 min) (unstimulated) - 12 months postRT,MD,0.32,0.09,0.55,TRUE,27,1,Very Low,"Downgraded by 1 level for risk of bias, and 2 levels for imprecision (single study and small sample size).",TRUE,TRUE,FALSE,FALSE,FALSE
patients receiving radiotherapy on its own or in addition to chemotherapy to the head and neck region,amifostine,no treatment/placebo,Overall survival at 12 to 24 months postRT,HR,1.18,0.85,1.66,FALSE,271,2,Very Low,"Downgraded by 1 level for risk of bias, and 2 levels for imprecision (small sample size and 95% CIs include both possibility of benefit and harm).",TRUE,TRUE,FALSE,FALSE,FALSE
patients receiving radiotherapy on its own or in addition to chemotherapy to the head and neck region,amifostine,no treatment/placebo,Quality of life (Patient Benefit Questionnaire) - 12 months postRT,MD,0.7,0.2,1.2,TRUE,180,1,Very Low,"Downgraded by 1 level for risk of bias, and 2 levels for imprecision (single study and small sample size).",TRUE,TRUE,FALSE,FALSE,FALSE
patients receiving radiotherapy on its own or in addition to chemotherapy to the head and neck region,amifostine,no treatment/placebo,vomiting associated with amifostine (Adverse effects),RR,4.9,2.87,8.38,TRUE,601,5,Low,"Downgraded by 1 level for risk of bias, and 1 level for imprecision (very wide 95% CIs).",TRUE,TRUE,FALSE,FALSE,FALSE
patients receiving radiotherapy on its own or in addition to chemotherapy to the head and neck region,amifostine,no treatment/placebo,hypotension associated with amifostine(Adverse effects),RR,9.2,2.84,29.83,TRUE,376,3,Low,"Downgraded by 1 level for risk of bias, and 1 level for imprecision (very wide 95% CIs).",TRUE,TRUE,FALSE,FALSE,FALSE
patients receiving radiotherapy on its own or in addition to chemotherapy to the head and neck region,amifostine,no treatment/placebo,nausea associated with amifostine(Adverse effects),RR,2.6,1.81,3.74,TRUE,556,4,Low,"Downgraded by 1 level for risk of bias, and 1 level for imprecision (very wide 95% CIs).",TRUE,TRUE,FALSE,FALSE,FALSE
patients receiving radiotherapy on its own or in addition to chemotherapy to the head and neck region,amifostine,no treatment/placebo,allergic response associated with amifostine(Adverse effects),RR,7.51,1.4,40.39,TRUE,524,3,Low,"Downgraded by 1 level for risk of bias, and 1 level for imprecision (very wide 95% CIs).",TRUE,TRUE,FALSE,FALSE,FALSE
patients receiving radiotherapy on its own or in addition to chemotherapy to the head and neck region,palifermin,placebo,Xerostomia (0-4 scale - grade 2 or above) - Up to and including 3 months postRT,RR,0.97,0.77,1.22,FALSE,471,3,Low,"Imprecision, inconsistency",FALSE,TRUE,TRUE,FALSE,FALSE
patients receiving radiotherapy on its own or in addition to chemotherapy to the head and neck region,palifermin,placebo,Overall survival at 42 to 72 months from baseline,HR,1,0.72,1.39,FALSE,NA,3,Moderate,Imprecision,FALSE,TRUE,FALSE,FALSE,FALSE
patients receiving radiotherapy on its own or in addition to chemotherapy to the head and neck region,palifermin,placebo,Adverse effects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
